user_id,last_10_interactions
0,3360 2924 3602 1809 1124 1792 1773 2718 817 2763
1,584 2345 1122 2993 3151 3013 2370 2376 1935 2279
2,2625 264 2484 1868 1456 1460 1762 1245 183 3231
3,3344 188 2617 3374 2252 151 1957 2836 3004 1471
4,1868 2363 2885 904 2186 1850 1939 3238 3327 3660
5,3648 1618 3180 2013 2340 1703 592 3597 1705 578
6,3487 810 1687 107 3600 867 1491 1556 947 817
7,815 904 2186 734 1365 1445 1795 3005 2129 1356
8,1201 1246 1316 1057 3487 71 452 2147 1884 1592
9,279 772 872 392 1428 2067 995 881 2219 2363
10,3298 3028 2112 2916 188 2006 462 3535 2474 2054
11,1023 1746 1781 3465 3116 2457 2700 529 730 1541
12,1073 1525 1216 420 1150 119 3047 3325 1846 2452
13,1814 2389 1177 1548 1011 2534 147 777 3151 1543
14,1984 905 2139 465 1319 3133 482 3256 2068 1670
15,2626 892 3013 702 2330 176 2959 868 2960 3019
16,2231 168 2529 1655 3438 3647 1032 2117 2181 3597
17,3669 1960 503 3053 3172 1315 2050 283 3396 3255
18,636 1830 3335 3544 3670 2980 402 584 2387 463
19,79 2580 1884 2840 645 232 1379 3059 2410 132
20,2621 1386 1341 3474 2691 183 1281 3116 2636 37
21,518 3176 3687 1886 2755 1290 2414 1994 3094 1443
22,1160 453 2169 7 52 3374 1723 3231 461 474
23,1040 361 220 2969 37 2261 309 2215 2980 1722
24,2512 1590 3269 971 3423 772 1657 2265 3529 1316
25,428 719 2858 3067 2006 1830 275 420 2156 2686
26,3224 138 1811 2015 3595 3409 305 3534 22 2265
27,568 3046 2617 658 622 3353 691 2140 1590 2606
28,2129 1445 902 3317 2626 793 3349 3248 2967 785
29,799 2293 620 523 10 2116 3062 498 375 461
30,1848 3437 2139 278 1328 2308 3213 530 3674 2972
31,3431 204 2246 3701 1289 2636 583 1127 2273 3405
32,1223 2862 2227 701 2338 1640 1376 1337 1373 569
33,1316 3013 672 3327 2186 1287 3318 983 3660 1905
34,1001 2928 1354 2646 732 2956 2068 2195 213 3002
35,761 2688 409 1583 1511 2564 1354 3153 22 3022
36,1950 3409 1475 3022 1543 3404 1868 512 2311 2572
37,1951 3393 2657 446 831 2060 41 3699 994 3372
38,1704 2202 533 2836 3698 1322 3648 3196 3223 2252
39,512 650 2281 221 2774 382 1560 1781 1801 3701
40,739 312 1060 528 3609 2246 1069 1808 974 3000
41,1916 3685 1804 107 2534 136 1830 2366 1615 2817
42,1619 3240 2815 797 1100 2005 331 1465 983 1862
43,498 1324 523 2230 1354 936 1098 1351 3409 573
44,1536 124 1354 2484 2186 563 2132 650 3660 3358
45,1583 2928 2732 2630 3332 2210 2067 1401 640 3473
46,20 440 1862 3427 2527 68 1251 3539 3606 3203
47,2595 3302 1371 2580 2539 570 391 1545 810 150
48,3389 2574 3600 790 2076 513 1403 451 6 472
49,1309 124 1353 2564 2281 3690 3341 1549 801 1517
50,974 1001 3705 1814 1374 2857 212 2313 2365 3583
51,2350 2370 1470 482 186 467 1510 472 246 2342
52,2970 3176 1493 24 1886 3293 362 3619 2443 636
53,1331 3153 1997 1316 236 375 3013 3409 36 185
54,506 612 764 2593 1777 3176 2047 323 919 2145
55,1337 3311 1868 2402 2268 174 2557 3276 3656 2920
56,3468 1211 2328 2345 3406 1283 2960 1832 2700 1524
57,2483 1838 841 2710 1682 1883 2349 613 2647 1065
58,20 2527 3194 1747 3019 1295 1318 1268 2051 499
59,1838 688 1404 120 3013 232 3067 1638 3409 1418
