user_id,item_id
0,1543 472 1811 2784 1086 494 3151 2688 790 1668
1,1039 2528 1315 1811 1505 132 2327 3529 169 3677
2,1543 2528 1560 1039 132 3409 1315 1831 2327 1223
3,1543 1223 1560 3409 1315 132 3529 1505 2327 169
4,2528 1337 1560 2297 1583 1039 3409 1315 132 2327
5,472 2528 2297 1583 1337 1039 1223 3409 1315 1505
6,1583 472 1337 2297 1039 1223 1831 3529 1505 2528
7,1543 2528 132 3409 1315 1811 1223 2327 169 2784
8,1543 1039 3409 2297 472 1337 1223 2528 2327 132
9,2528 2297 1560 1811 1505 2636 2784 3677 36 1328
10,1543 472 1583 1223 1811 2297 1039 1337 3529 1831
11,472 1543 1811 1223 1039 584 1337 1831 1560 1505
12,1543 2528 1337 1560 472 3409 2297 1223 2327 1315
13,472 1223 1560 1831 1337 1315 3409 1811 132 2327
14,1583 3529 1543 1039 1223 1811 1560 2297 1337 1831
15,1543 1583 2297 2528 1039 1831 1811 1223 3409 2327
16,1583 1543 1039 1223 1337 132 584 1505 1560 1831
17,472 1337 2528 132 3529 1811 1831 2327 2784 3151
18,1583 1039 2297 1543 3529 1337 1560 1811 1505 1831
19,1543 1337 1583 2297 1039 2528 1560 1811 2327 1831
20,1543 1583 1039 1223 2297 3529 1337 1560 1505 1831
21,472 2528 1560 1315 1505 132 2636 1956 1328 169
22,1543 2528 3409 1560 1315 132 1505 3529 2784 1811
23,472 1543 1583 2297 3529 1811 1223 1337 1039 640
24,1583 2297 1811 1039 1337 1560 2528 584 132 1831
25,1543 1039 1337 1223 1560 1505 3409 1086 494 2603
26,2297 1583 1039 1337 1560 1505 2528 132 584 476
27,472 1583 1543 1039 2297 3529 1223 1811 1337 1831
28,472 1543 2297 1337 3529 1811 132 2528 584 3022
29,1543 472 1583 2297 1811 1223 1560 1337 1039 1831
30,1543 1560 1086 2784 169 3022 584 2688 3151 1279
31,1543 472 1039 1583 2528 1811 132 1831 1505 2327
32,472 1583 1543 1039 1223 1811 1560 2528 584 640
33,472 1543 2297 1811 3529 1337 1039 1560 584 1505
34,1543 2528 1583 2297 2327 1223 1505 1831 2636 1086
