user_id,item_id
0,3022 1583 2862 1039 1543 2789 36 2564 779 152
1,1543 3022 1039 2862 2564 2789 472 1560 779 36
2,3022 1543 1039 1583 2862 3529 36 2564 472 2789
3,3022 1543 1039 1583 2862 3529 2564 1560 472 36
4,1543 2789 2862 36 3022 1039 2564 152 779 1560
5,3618 3072 2789 3653 152 3198 3212 2895 2784 2365
6,2789 3618 1543 3653 2862 3072 152 2895 2945 1560
7,1543 3022 2789 1039 2862 36 152 779 2564 3529
8,3618 2789 3072 3653 1543 2895 2945 2862 1677 2365
9,36 1543 3618 2564 2789 152 779 2862 3653 3072
10,2862 3618 152 2564 2365 3653 2789 3072 36 779
11,2862 2789 3529 3022 2365 1039 152 779 2564 1279
12,2789 1543 2365 3653 3618 152 3072 2784 779 2862
13,3022 2789 152 779 1039 2365 2564 3072 36 2862
14,472 3618 3072 1543 1560 3022 3478 2895 2784 3423
15,1543 2564 36 2862 1560 2784 3423 152 2789 1279
16,3618 3502 3391 3450 1474 3186 2524 910 520 1
17,2789 1543 152 3618 779 2365 2564 36 3653 741
18,2789 472 3072 1543 2862 2564 1039 3022 152 3618
19,2789 152 3618 3072 1543 2365 3653 36 2564 2557
20,1543 3618 2789 2564 2862 152 472 3072 2365 779
21,2784 2789 1039 1543 573 3153 779 3072 3022 3423
22,3618 1543 2789 3653 1677 3072 2895 741 2848 651
23,1543 3618 2789 472 3072 2365 2784 2862 152 3653
24,36 1543 2789 2564 2862 152 3072 3618 2365 779
25,1543 2862 2789 3618 3653 1560 152 2365 779 2784
26,36 2789 152 779 2365 2564 3072 2248 2862 573
27,1543 2789 3072 152 36 779 2862 136 2365 3212
28,2789 1543 152 779 2365 2564 741 2862 573 1279
29,2789 152 36 1543 2862 779 2564 3072 3653 2365
30,3022 1543 1583 2862 2564 2789 3423 1560 152 1039
31,1543 2789 2862 3618 152 3653 3072 2365 779 2564
32,36 1543 2789 2862 152 2564 779 1039 2365 573
33,1543 1039 2862 2789 3022 1560 36 2564 3618 3529
34,3618 2564 2784 3653 3072 2365 2862 1279 152 779
35,3072 2789 1543 2564 2862 36 2945 3022 152 1039
36,2789 1543 3618 2862 36 152 2365 2564 3072 779
37,2862 3618 1543 2789 2365 3072 3653 152 779 2564
38,3022 1039 1543 2564 3529 2789 1583 1560 1831 1223
39,1543 2862 2564 2789 1039 3618 2784 152 3653 472
40,152 2564 2365 2862 3072 472 779 2789 2784 2248
41,1543 2789 3618 152 2862 2564 3072 3653 2365 3529
42,1543 3022 36 1039 2862 2789 1560 2564 779 2784
43,2789 2564 1543 36 2862 2365 779 152 1039 1279
44,2789 1543 2862 152 36 779 2365 3072 2564 3618
45,1543 2789 1039 2365 779 2564 152 472 2862 741
46,152 3618 1039 3072 1560 3653 2564 2789 2365 779
47,36 2789 1543 2365 152 2564 2862 3618 3072 3653
48,2789 1543 2862 152 2564 2365 36 3072 136 779
49,1543 472 2789 2862 2564 36 1560 2784 3072 2365
50,3022 1583 1039 1831 2862 2564 2297 1223 472 2365
51,1543 1039 2862 2789 3022 2564 2784 1223 152 1560
52,3022 1543 1039 1583 2564 2789 36 2862 2365 779
53,2789 1543 36 3653 2365 3618 3072 152 2564 2862
54,1543 36 2862 2564 1039 2789 3022 779 1560 1279
55,1543 2789 36 3022 2564 2862 3618 1039 152 2365
56,36 2789 3618 2564 3072 2784 3653 2365 2862 152
57,3618 3072 1677 651 2365 3653 152 2895 2945 2248
58,36 2789 2564 2862 1543 2365 152 3653 3072 1279
59,2789 152 2365 36 3618 3653 3072 779 2564 2862
60,2789 2365 152 3618 3072 3653 779 2784 2248 2564
61,3022 1543 1039 2564 2862 1583 3529 3618 1560 1223
62,3618 3653 2789 3072 2365 741 779 152 2248 796
63,1543 3022 1039 2862 2789 1560 3529 2564 472 1279
64,3072 3618 651 2945 1677 2895 1104 3062 3198 3478
65,3022 1039 1543 2862 2789 2564 3529 36 1223 1279
66,1543 2564 2862 1039 36 2789 1560 3072 152 3423
67,36 2789 1543 152 779 2784 2564 2862 2365 3653
68,1543 1039 2789 2862 3022 2564 1223 1583 1560 36
69,2789 152 2365 741 3618 779 472 3653 1543 2248
